Wall time,Step,Value
1563717037.920951,2000,0.0
1563717367.133227,4000,0.15000000596046448
1563717857.703969,6000,0.4000000059604645
1563718212.906314,8000,0.20000000298023224
1563718644.377297,10000,0.44999998807907104
1563718928.10785,12000,0.3499999940395355
1563719481.333012,14000,0.3499999940395355
1563720028.853796,16000,0.3499999940395355
1563720672.287026,18000,0.4000000059604645
1563721107.561558,20000,0.5
1563721813.989395,22000,0.30000001192092896
1563722309.588295,24000,0.699999988079071
1563722876.516798,26000,0.15000000596046448
1563723367.511287,28000,0.699999988079071
1563723688.57813,30000,0.6000000238418579
1563724174.950262,32000,0.5
1563724759.963545,34000,0.3499999940395355
1563725201.253228,36000,0.05000000074505806
1563725797.47456,38000,0.4000000059604645
1563726353.201798,40000,0.5
1563726960.89001,42000,0.15000000596046448
1563727461.730071,44000,0.6499999761581421
1563728015.811147,46000,0.30000001192092896
1563728518.358585,48000,0.15000000596046448
1563728953.053134,50000,0.30000001192092896
1563729495.764694,52000,0.10000000149011612
1563729919.435195,54000,0.6000000238418579
1563730618.330665,56000,0.550000011920929
1563731295.134216,58000,0.15000000596046448
1563731800.425291,60000,0.75
1563732120.332087,62000,0.44999998807907104
1563732618.39819,64000,0.4000000059604645
1563733444.705948,66000,0.6499999761581421
1563733881.689994,68000,0.75
1563734362.385076,70000,0.4000000059604645
1563734890.435383,72000,0.6499999761581421
1563735533.059111,74000,0.3499999940395355
1563735955.061309,76000,0.6000000238418579
1563736525.382017,78000,0.6000000238418579
1563737508.518989,80000,0.05000000074505806
1563738250.177928,82000,0.10000000149011612
1563738733.334146,84000,0.4000000059604645
1563739162.803458,86000,0.30000001192092896
1563739529.922142,88000,0.44999998807907104
1563739947.373248,90000,0.3499999940395355
1563740535.214105,92000,0.5
1563740968.056709,94000,0.8500000238418579
1563741648.46004,96000,0.550000011920929
1563742446.499828,98000,0.6499999761581421
1563742922.133784,100000,0.6499999761581421
1563743525.331263,102000,0.800000011920929
1563744560.120502,104000,0.15000000596046448
1563745218.936459,106000,0.949999988079071
1563745811.186623,108000,0.6499999761581421
1563746284.560621,110000,0.3499999940395355
1563746694.47131,112000,0.4000000059604645
1563747275.279441,114000,0.20000000298023224
1563747820.912431,116000,0.25
1563748376.468683,118000,0.699999988079071
1563748825.841162,120000,0.550000011920929
1563749274.441723,122000,0.6000000238418579
1563750172.85413,124000,0.4000000059604645
1563750845.297427,126000,0.3499999940395355
1563751558.45105,128000,0.8500000238418579
1563752445.49725,130000,0.6000000238418579
1563752963.613177,132000,0.6499999761581421
1563753421.847502,134000,0.3499999940395355
1563753883.315193,136000,0.550000011920929
1563754325.75967,138000,0.4000000059604645
1563754808.942706,140000,0.699999988079071
1563755101.617726,142000,0.4000000059604645
1563755580.556366,144000,0.6499999761581421
1563756283.901509,146000,0.6499999761581421
1563756650.028237,148000,0.30000001192092896
1563757173.420447,150000,0.6499999761581421
1563757636.712864,152000,0.75
1563758168.481518,154000,0.699999988079071
1563758642.734591,156000,0.44999998807907104
1563759314.415312,158000,0.550000011920929
1563759892.170492,160000,0.8500000238418579
1563760481.925844,162000,0.5
1563760825.032925,164000,0.25
1563761198.266058,166000,0.800000011920929
1563761657.299315,168000,0.699999988079071
1563762160.02498,170000,0.15000000596046448
1563762590.322142,172000,0.699999988079071
1563763036.177511,174000,0.550000011920929
1563763483.755008,176000,0.44999998807907104
1563763846.517565,178000,0.44999998807907104
1563764245.099869,180000,0.3499999940395355
1563764903.924644,182000,0.800000011920929
1563765282.747486,184000,0.10000000149011612
1563765779.546737,186000,0.6000000238418579
1563766205.280763,188000,0.05000000074505806
1563766610.900062,190000,0.6499999761581421
1563767262.581505,192000,0.0
1563767672.934082,194000,0.699999988079071
1563768119.160032,196000,0.699999988079071
1563768710.078913,198000,0.4000000059604645
1563769113.849059,200000,0.699999988079071
1563769440.240533,202000,0.44999998807907104
